route_id,service_id,trip_id,trip_headsign,direction_id,block_id
104-273,JAN18-JANDA18-Weekday-31,50075679-JAN18-JANDA18-Weekday-31,"Carleton",1,5756436
104-273,JAN18-JANDA18-Weekday-31,50075680-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5756111
104-273,JAN18-JANDA18-Weekday-31,50075681-JAN18-JANDA18-Weekday-31,"Carleton",1,5756111
40-273,JAN18-JANDA18-Weekday-31,50075682-JAN18-JANDA18-Weekday-31,"Greenboro",1,5756691
6-273,JAN18-JANDA18-Weekday-31,50075683-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756118
6-273,JAN18-JANDA18-Weekday-31,50075684-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756118
6-273,JAN18-JANDA18-Weekday-31,50075685-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756391
104-273,JAN18-JANDA18-Weekday-31,50075686-JAN18-JANDA18-Weekday-31,"Carleton",1,5757134
104-273,JAN18-JANDA18-Weekday-31,50075687-JAN18-JANDA18-Weekday-31,"Carleton",1,5756481
104-273,JAN18-JANDA18-Weekday-31,50075688-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5756481
104-273,JAN18-JANDA18-Weekday-31,50075689-JAN18-JANDA18-Weekday-31,"Carleton",1,5756481
4-273,JAN18-JANDA18-Weekday-31,50075690-JAN18-JANDA18-Weekday-31,"Rideau",1,5756481
5-273,JAN18-JANDA18-Weekday-31,50075691-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756394
92-273,JAN18-JANDA18-Weekday-31,50075692-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756427
92-273,JAN18-JANDA18-Weekday-31,50075693-JAN18-JANDA18-Weekday-31,"Hurdman",1,5756427
129-273,JAN18-JANDA18-Weekday-31,50075694-JAN18-JANDA18-Weekday-31,"Carson's",0,5756557
129-273,JAN18-JANDA18-Weekday-31,50075695-JAN18-JANDA18-Weekday-31,"Hurdman",1,5756557
5-273,JAN18-JANDA18-Weekday-31,50075697-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756695
5-273,JAN18-JANDA18-Weekday-31,50075698-JAN18-JANDA18-Weekday-31,"Rideau",1,5757054
18-273,JAN18-JANDA18-Weekday-31,50075699-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5757054
18-273,JAN18-JANDA18-Weekday-31,50075700-JAN18-JANDA18-Weekday-31,"Rideau",1,5756350
